Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
7.0121178627	0	21.0714285714	11.5630870442	89.0	8.0	21.0714285714	11.5630870442	5015	5015
10.5875477791	1	21.1949152542	10.5193594528	66.0	9.0	21.1949152542	10.5193594528	5002	10017
13.8780608177	2	20.8833333333	11.6695353616	81.0	8.0	20.8833333333	11.6695353616	5012	15029
17.3783969879	3	19.58203125	9.52182471347	61.0	8.0	19.58203125	9.52182471347	5013	20042
20.8805339336	4	20.633744856	11.0409643694	71.0	8.0	20.633744856	11.0409643694	5014	25056
24.1165399551	5	18.5036764706	8.88240087516	59.0	8.0	18.5036764706	8.88240087516	5033	30089
27.4460449219	6	19.4341085271	9.91150373938	69.0	8.0	19.4341085271	9.91150373938	5014	35103
30.9469218254	7	19.8537549407	9.67527898563	70.0	8.0	19.8537549407	9.67527898563	5023	40126
34.5485398769	8	20.9665271967	11.4650154085	79.0	9.0	20.9665271967	11.4650154085	5011	45137
38.0468819141	9	20.9790794979	9.39930011582	69.0	9.0	20.9790794979	9.39930011582	5014	50151
42.8214938641	10	22.9132420091	11.6009272969	75.0	9.0	22.9132420091	11.6009272969	5018	55169
46.3682367802	11	25.8917525773	14.2128022013	92.0	9.0	25.8917525773	14.2128022013	5023	60192
49.9088490009	12	23.7014218009	12.9377271848	83.0	9.0	23.7014218009	12.9377271848	5001	65193
53.3990178108	13	27.3879781421	15.5263663552	80.0	9.0	27.3879781421	15.5263663552	5012	70205
56.8881618977	14	29.0755813953	20.1520409033	164.0	10.0	29.0755813953	20.1520409033	5001	75206
60.0866658688	15	30.8060606061	17.1226934194	87.0	8.0	30.8060606061	17.1226934194	5083	80289
63.5994589329	16	32.3677419355	18.8018596729	104.0	10.0	32.3677419355	18.8018596729	5017	85306
66.8503727913	17	33.4066666667	20.5413718032	126.0	10.0	33.4066666667	20.5413718032	5011	90317
70.2253937721	18	38.0227272727	23.9755133636	151.0	10.0	38.0227272727	23.9755133636	5019	95336
74.2902657986	19	43.3448275862	25.0671867699	139.0	10.0	43.3448275862	25.0671867699	5028	100364
80.11764884	20	43.2155172414	25.746377728	142.0	11.0	43.2155172414	25.746377728	5013	105377
83.5846209526	21	44.7142857143	23.6312552458	130.0	12.0	44.7142857143	23.6312552458	5008	110385
86.911220789	22	45.5	23.7175615794	117.0	11.0	45.5	23.7175615794	5005	115390
90.2679798603	23	49.1862745098	32.7116727958	200.0	13.0	49.1862745098	32.7116727958	5017	120407
93.9438447952	24	56.6179775281	30.9310598481	185.0	13.0	56.6179775281	30.9310598481	5039	125446
97.5595788956	25	50.59	27.2947229332	146.0	15.0	50.59	27.2947229332	5059	130505
100.971061945	26	51.6391752577	28.0228866579	200.0	11.0	51.6391752577	28.0228866579	5009	135514
104.342089891	27	62.5875	32.5160321034	175.0	14.0	62.5875	32.5160321034	5007	140521
108.126331806	28	62.5243902439	33.2155655583	173.0	17.0	62.5243902439	33.2155655583	5127	145648
111.792721987	29	67.7702702703	37.8626776574	169.0	15.0	67.7702702703	37.8626776574	5015	150663
119.294906855	30	63.4303797468	33.3579298239	200.0	20.0	63.4303797468	33.3579298239	5011	155674
122.883379936	31	71.2816901408	34.8195279104	198.0	20.0	71.2816901408	34.8195279104	5061	160735
126.307357788	32	75.2089552239	36.5597190106	186.0	18.0	75.2089552239	36.5597190106	5039	165774
129.390818834	33	72.0285714286	35.5997477634	200.0	12.0	72.0285714286	35.5997477634	5042	170816
132.833527803	34	87.5	36.8315129316	200.0	26.0	87.5	36.8315129316	5075	175891
136.090910912	35	85.3389830508	41.7805445638	200.0	18.0	85.3389830508	41.7805445638	5035	180926
139.880643845	36	90.1228070175	44.5846603215	200.0	24.0	90.1228070175	44.5846603215	5137	186063
143.37962389	37	90.125	35.9757172568	192.0	28.0	90.125	35.9757172568	5047	191110
146.843313932	38	96.679245283	37.9715750613	200.0	27.0	96.679245283	37.9715750613	5124	196234
150.140884876	39	111.577777778	41.6447883301	200.0	26.0	111.577777778	41.6447883301	5021	201255
161.152804852	40	114.272727273	44.6182614654	200.0	36.0	114.272727273	44.6182614654	5028	206283
164.349260807	41	124.756097561	46.8129544755	200.0	21.0	124.756097561	46.8129544755	5115	211398
168.182544947	42	113.511111111	53.6078859134	200.0	16.0	113.511111111	53.6078859134	5108	216506
171.610023975	43	141.972222222	47.8124147704	200.0	25.0	141.972222222	47.8124147704	5111	221617
175.065931797	44	127.6	48.0306152365	200.0	30.0	127.6	48.0306152365	5104	226721
178.863023996	45	122.780487805	49.5356546609	200.0	25.0	122.780487805	49.5356546609	5034	231755
182.508768797	46	135.578947368	45.9860571426	200.0	33.0	135.578947368	45.9860571426	5152	236907
186.026440859	47	143.828571429	44.0729821444	200.0	16.0	143.828571429	44.0729821444	5034	241941
189.4214499	48	142.916666667	47.1153283621	200.0	18.0	142.916666667	47.1153283621	5145	247086
192.892405987	49	161.516129032	40.4920310501	200.0	85.0	161.516129032	40.4920310501	5007	252093
207.602133989	50	173.233333333	43.4378355303	200.0	57.0	173.233333333	43.4378355303	5197	257290
211.039444923	51	166.064516129	41.3216614941	200.0	59.0	166.064516129	41.3216614941	5148	262438
214.600393772	52	163.258064516	38.8545407667	200.0	38.0	163.258064516	38.8545407667	5061	267499
218.081926823	53	174.137931034	43.7845226456	200.0	31.0	174.137931034	43.7845226456	5050	272549
221.420559883	54	179.034482759	43.563257817	200.0	25.0	179.034482759	43.563257817	5192	277741
224.820882797	55	182.178571429	30.785030652	200.0	59.0	182.178571429	30.785030652	5101	282842
228.613474846	56	190.666666667	17.2562388074	200.0	133.0	190.666666667	17.2562388074	5148	287990
232.202051878	57	190.037037037	18.5002131749	200.0	145.0	190.037037037	18.5002131749	5131	293121
235.505127907	58	195.230769231	17.0887000278	200.0	112.0	195.230769231	17.0887000278	5076	298197
239.02667594	59	189.62962963	24.0310727064	200.0	86.0	189.62962963	24.0310727064	5120	303317
253.771617889	60	187.962962963	22.5347163965	200.0	113.0	187.962962963	22.5347163965	5075	308392
257.432734966	61	191.111111111	15.1200953684	200.0	137.0	191.111111111	15.1200953684	5160	313552
261.187440872	62	191.111111111	20.7138052611	200.0	121.0	191.111111111	20.7138052611	5160	318712
264.565315962	63	191.814814815	22.8198046491	200.0	124.0	191.814814815	22.8198046491	5179	323891
268.048972845	64	197.576923077	7.13158239493	200.0	165.0	197.576923077	7.13158239493	5137	329028
271.378203869	65	194.730769231	12.9245077047	200.0	146.0	194.730769231	12.9245077047	5063	334091
274.695907831	66	193.346153846	14.3926859302	200.0	147.0	193.346153846	14.3926859302	5027	339118
277.968882799	67	196.5	11.9333082653	200.0	146.0	196.5	11.9333082653	5109	344227
281.178632975	68	197.576923077	7.38591735317	200.0	169.0	197.576923077	7.38591735317	5137	349364
284.612792969	69	199.115384615	3.66193436774	200.0	181.0	199.115384615	3.66193436774	5177	354541
298.73028779	70	197.038461538	7.9926926686	200.0	166.0	197.038461538	7.9926926686	5123	359664
302.121251822	71	197.384615385	7.78102684086	200.0	166.0	197.384615385	7.78102684086	5132	364796
305.730983973	72	197.384615385	5.66417162846	200.0	176.0	197.384615385	5.66417162846	5132	369928
309.458092928	73	194.423076923	14.6028792654	200.0	138.0	194.423076923	14.6028792654	5055	374983
313.280564785	74	199.807692308	0.785406840641	200.0	196.0	199.807692308	0.785406840641	5195	380178
316.918873787	75	199.0	4.24264068712	200.0	178.0	199.0	4.24264068712	5174	385352
320.297835827	76	193.730769231	31.3461538462	200.0	37.0	193.730769231	31.3461538462	5037	390389
324.082503796	77	196.692307692	15.0173469714	200.0	122.0	196.692307692	15.0173469714	5114	395503
327.693274975	78	200.0	0.0	200.0	200.0	200.0	0.0	5200	400703
331.523479939	79	200.0	0.0	200.0	200.0	200.0	0.0	5200	405903
346.084203005	80	200.0	0.0	200.0	200.0	200.0	0.0	5200	411103
349.534214973	81	199.846153846	0.769230769231	200.0	196.0	199.846153846	0.769230769231	5196	416299
353.249843836	82	200.0	0.0	200.0	200.0	200.0	0.0	5200	421499
356.565497875	83	199.692307692	1.20157687322	200.0	194.0	199.692307692	1.20157687322	5192	426691
359.941496849	84	200.0	0.0	200.0	200.0	200.0	0.0	5200	431891
363.552425861	85	199.961538462	0.192307692308	200.0	199.0	199.961538462	0.192307692308	5199	437090
367.039119005	86	198.269230769	8.65384615385	200.0	155.0	198.269230769	8.65384615385	5155	442245
370.757469893	87	199.153846154	4.03534678419	200.0	179.0	199.153846154	4.03534678419	5178	447423
374.430682898	88	199.423076923	2.88461538462	200.0	185.0	199.423076923	2.88461538462	5185	452608
378.045836926	89	199.692307692	1.53846153846	200.0	192.0	199.692307692	1.53846153846	5192	457800
392.960089922	90	196.423076923	11.8781411293	200.0	144.0	196.423076923	11.8781411293	5107	462907
396.658439875	91	195.923076923	11.7110174193	200.0	155.0	195.923076923	11.7110174193	5094	468001
400.226001978	92	196.0	11.2283980637	200.0	158.0	196.0	11.2283980637	5096	473097
403.733894825	93	199.346153846	2.26923076923	200.0	191.0	199.346153846	2.26923076923	5183	478280
407.352993965	94	192.0	16.0739033956	200.0	139.0	192.0	16.0739033956	5184	483464
410.707696915	95	192.5	14.4361991588	200.0	155.0	192.5	14.4361991588	5005	488469
414.212433815	96	193.192307692	13.744982947	200.0	148.0	193.192307692	13.744982947	5023	493492
417.759744883	97	191.148148148	13.2684635961	200.0	161.0	191.148148148	13.2684635961	5161	498653
421.182543993	98	195.807692308	13.1763752188	200.0	135.0	195.807692308	13.1763752188	5091	503744
424.865121841	99	185.142857143	24.7136663837	200.0	113.0	185.142857143	24.7136663837	5184	508928
