Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.64358687401	0	20.8367346939	10.4106439621	59.0	9.0	20.8367346939	10.4106439621	1021	1021
3.30592083931	1	19.0188679245	8.39472108617	53.0	9.0	19.0188679245	8.39472108617	1008	2029
4.14250993729	2	22.3260869565	14.040398774	84.0	9.0	22.3260869565	14.040398774	1027	3056
4.97224998474	3	21.847826087	10.4235673425	53.0	8.0	21.847826087	10.4235673425	1005	4061
5.76499390602	4	19.0754716981	8.44035467511	48.0	9.0	19.0754716981	8.44035467511	1011	5072
6.58898186684	5	27.1621621622	16.2755221837	97.0	10.0	27.1621621622	16.2755221837	1005	6077
7.29806685448	6	21.7826086957	11.4472572061	73.0	9.0	21.7826086957	11.4472572061	1002	7079
7.95252299309	7	21.7826086957	11.6878105278	61.0	11.0	21.7826086957	11.6878105278	1002	8081
8.56026983261	8	23.0681818182	11.9228537754	52.0	10.0	23.0681818182	11.9228537754	1015	9096
9.20596885681	9	24.1666666667	14.5519049099	87.0	10.0	24.1666666667	14.5519049099	1015	10111
14.4356808662	10	20.06	13.4497732323	78.0	9.0	20.06	13.4497732323	1003	11114
15.289883852	11	20.9795918367	8.23999652248	48.0	10.0	20.9795918367	8.23999652248	1028	12142
16.1661849022	12	20.18	8.46330904552	58.0	9.0	20.18	8.46330904552	1009	13151
17.0119659901	13	21.7346938776	14.1850388419	81.0	10.0	21.7346938776	14.1850388419	1065	14216
17.6903719902	14	27.2564102564	19.724666256	85.0	9.0	27.2564102564	19.724666256	1063	15279
18.4639458656	15	22.4666666667	10.1622394732	54.0	11.0	22.4666666667	10.1622394732	1011	16290
19.2438900471	16	23.9523809524	11.7046030444	58.0	9.0	23.9523809524	11.7046030444	1006	17296
19.8115210533	17	21.5106382979	15.0515035517	91.0	8.0	21.5106382979	15.0515035517	1011	18307
20.3817288876	18	21.4680851064	12.2870820659	82.0	9.0	21.4680851064	12.2870820659	1009	19316
21.24593997	19	23.2727272727	10.5558334505	50.0	10.0	23.2727272727	10.5558334505	1024	20340
22.7104859352	20	20.4489795918	10.5270520797	52.0	8.0	20.4489795918	10.5270520797	1002	21342
23.4406979084	21	22.7333333333	14.0069823858	72.0	8.0	22.7333333333	14.0069823858	1023	22365
24.3290748596	22	17.5614035088	10.1980692081	72.0	8.0	17.5614035088	10.1980692081	1001	23366
25.0068349838	23	20.6326530612	10.6420304138	48.0	10.0	20.6326530612	10.6420304138	1011	24377
25.7429389954	24	19.6153846154	6.57546092609	36.0	12.0	19.6153846154	6.57546092609	1020	25397
26.4347100258	25	21.1041666667	11.3325482265	62.0	9.0	21.1041666667	11.3325482265	1013	26410
27.1385250092	26	19.6538461538	10.0477410691	53.0	8.0	19.6538461538	10.0477410691	1022	27432
27.7982878685	27	23.4651162791	12.3765510416	62.0	9.0	23.4651162791	12.3765510416	1009	28441
28.4909038544	28	20.02	9.05204949169	43.0	8.0	20.02	9.05204949169	1001	29442
29.2423820496	29	22.0	12.7824608096	74.0	9.0	22.0	12.7824608096	1012	30454
30.8214139938	30	19.5	8.25436947226	42.0	9.0	19.5	8.25436947226	1014	31468
31.5495698452	31	19.4230769231	8.95146346833	66.0	11.0	19.4230769231	8.95146346833	1010	32478
32.2068150043	32	20.8958333333	13.1659908846	69.0	9.0	20.8958333333	13.1659908846	1003	33481
32.8771729469	33	18.8333333333	8.44316510777	54.0	10.0	18.8333333333	8.44316510777	1017	34498
33.5861020088	34	20.8039215686	12.3558664448	66.0	8.0	20.8039215686	12.3558664448	1061	35559
34.2961058617	35	20.5102040816	9.38544780874	46.0	9.0	20.5102040816	9.38544780874	1005	36564
35.0055379868	36	21.9782608696	12.0153690175	63.0	10.0	21.9782608696	12.0153690175	1011	37575
35.7873678207	37	20.8979591837	9.07394767713	50.0	9.0	20.8979591837	9.07394767713	1024	38599
36.4862790108	38	20.2	9.84479557939	63.0	8.0	20.2	9.84479557939	1010	39609
37.1146080494	39	19.1698113208	9.02143328163	50.0	9.0	19.1698113208	9.02143328163	1016	40625
38.7227339745	40	20.9591836735	13.3965563404	89.0	9.0	20.9591836735	13.3965563404	1027	41652
39.4147908688	41	19.2692307692	9.29457117109	52.0	10.0	19.2692307692	9.29457117109	1002	42654
40.1400690079	42	21.0208333333	9.23645310561	51.0	9.0	21.0208333333	9.23645310561	1009	43663
40.7807040215	43	18.5925925926	8.09782439579	42.0	9.0	18.5925925926	8.09782439579	1004	44667
41.3882808685	44	18.9444444444	9.51493303273	49.0	9.0	18.9444444444	9.51493303273	1023	45690
42.1152179241	45	19.8039215686	9.03808848401	55.0	10.0	19.8039215686	9.03808848401	1010	46700
42.8092238903	46	18.2181818182	8.10093352441	45.0	8.0	18.2181818182	8.10093352441	1002	47702
43.4402229786	47	21.5957446809	15.267347405	83.0	8.0	21.5957446809	15.267347405	1015	48717
44.0763199329	48	21.6041666667	10.3717155109	47.0	9.0	21.6041666667	10.3717155109	1037	49754
44.72377491	49	19.2884615385	8.42006883414	45.0	10.0	19.2884615385	8.42006883414	1003	50757
46.4483449459	50	18.7592592593	8.68147279105	46.0	8.0	18.7592592593	8.68147279105	1013	51770
47.0903098583	51	18.4	8.12314314446	44.0	9.0	18.4	8.12314314446	1012	52782
47.7675409317	52	22.0638297872	10.585828052	48.0	9.0	22.0638297872	10.585828052	1037	53819
48.3667528629	53	20.693877551	11.0457380859	68.0	9.0	20.693877551	11.0457380859	1014	54833
48.9660639763	54	17.7719298246	7.75279812274	41.0	9.0	17.7719298246	7.75279812274	1013	55846
49.619093895	55	18.9622641509	9.06571868364	48.0	9.0	18.9622641509	9.06571868364	1005	56851
50.2388679981	56	19.3018867925	9.26870348887	47.0	8.0	19.3018867925	9.26870348887	1023	57874
50.9046828747	57	18.0892857143	7.14711926412	37.0	8.0	18.0892857143	7.14711926412	1013	58887
51.5002110004	58	18.5555555556	8.81006719331	64.0	9.0	18.5555555556	8.81006719331	1002	59889
52.1141059399	59	19.0943396226	8.20092988502	45.0	9.0	19.0943396226	8.20092988502	1012	60901
55.5954568386	60	20.4	8.52525659438	41.0	9.0	20.4	8.52525659438	1020	61921
56.3407199383	61	17.8771929825	6.45923838712	36.0	9.0	17.8771929825	6.45923838712	1019	62940
57.0679750443	62	19.7058823529	10.2139737378	57.0	9.0	19.7058823529	10.2139737378	1005	63945
57.9058449268	63	19.320754717	7.46001564292	36.0	9.0	19.320754717	7.46001564292	1024	64969
58.6351790428	64	17.3965517241	6.74393637015	38.0	9.0	17.3965517241	6.74393637015	1009	65978
59.4664168358	65	16.7833333333	5.60384292745	33.0	10.0	16.7833333333	5.60384292745	1007	66985
60.1873748302	66	19.8039215686	14.0921610915	92.0	9.0	19.8039215686	14.0921610915	1010	67995
61.048126936	67	19.3962264151	8.88573081829	51.0	8.0	19.3962264151	8.88573081829	1028	69023
61.7501909733	68	17.0	6.70441291556	35.0	8.0	17.0	6.70441291556	1003	70026
62.5146129131	69	18.0714285714	9.89743318611	71.0	9.0	18.0714285714	9.89743318611	1012	71038
63.8790919781	70	19.4716981132	8.28411476826	40.0	9.0	19.4716981132	8.28411476826	1032	72070
64.6940989494	71	17.9642857143	7.69035640479	45.0	8.0	17.9642857143	7.69035640479	1006	73076
65.4452090263	72	18.2909090909	8.33758789464	44.0	8.0	18.2909090909	8.33758789464	1006	74082
66.1532349586	73	18.3454545455	8.89988392533	50.0	8.0	18.3454545455	8.89988392533	1009	75091
66.9753830433	74	16.0317460317	5.79536830381	35.0	8.0	16.0317460317	5.79536830381	1010	76101
