Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.78938484192	0	23.6136363636	11.1237173093	57.0	10.0	23.6136363636	11.1237173093	1039	1039
3.56496286392	1	20.08	8.88333270794	48.0	10.0	20.08	8.88333270794	1004	2043
4.19261097908	2	23.6511627907	13.9498832552	76.0	9.0	23.6511627907	13.9498832552	1017	3060
4.91630101204	3	21.7021276596	11.7218016436	67.0	10.0	21.7021276596	11.7218016436	1020	4080
5.70480298996	4	24.8292682927	10.938636913	51.0	9.0	24.8292682927	10.938636913	1018	5098
6.38883590698	5	20.1	10.4541857646	64.0	9.0	20.1	10.4541857646	1005	6103
7.16087388992	6	20.6666666667	9.53356643072	59.0	9.0	20.6666666667	9.53356643072	1054	7157
7.91791391373	7	20.1	8.40535543567	45.0	9.0	20.1	8.40535543567	1005	8162
8.5850508213	8	19.25	8.06911252388	45.0	9.0	19.25	8.06911252388	1001	9163
9.25038790703	9	20.5918367347	10.6405431182	57.0	9.0	20.5918367347	10.6405431182	1009	10172
10.762595892	10	19.3773584906	9.60586773328	54.0	10.0	19.3773584906	9.60586773328	1027	11199
11.4288058281	11	19.2264150943	8.00622755118	38.0	10.0	19.2264150943	8.00622755118	1019	12218
12.2063639164	12	16.9666666667	6.32710219786	39.0	9.0	16.9666666667	6.32710219786	1018	13236
12.91502285	13	16.5081967213	5.62378715761	33.0	9.0	16.5081967213	5.62378715761	1007	14243
13.6473448277	14	18.9444444444	8.98025955796	59.0	9.0	18.9444444444	8.98025955796	1023	15266
14.4641048908	15	18.4727272727	8.50209502621	48.0	10.0	18.4727272727	8.50209502621	1016	16282
15.1970918179	16	16.8032786885	6.94196002022	41.0	8.0	16.8032786885	6.94196002022	1025	17307
15.9047648907	17	18.2545454545	7.47898433021	35.0	8.0	18.2545454545	7.47898433021	1004	18311
16.6639809608	18	16.1612903226	8.40160036289	63.0	9.0	16.1612903226	8.40160036289	1002	19313
17.3089308739	19	18.0	7.2308861342	41.0	8.0	18.0	7.2308861342	1008	20321
19.1776199341	20	17.4137931034	7.45800769079	46.0	10.0	17.4137931034	7.45800769079	1010	21331
