Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.9453599453	0	18.3035714286	7.03795740167	41.0	9.0	18.3035714286	7.03795740167	1025	1025
4.64998316765	1	19.7647058824	10.2566826332	51.0	10.0	19.7647058824	10.2566826332	1008	2033
5.44123005867	2	25.0697674419	14.9267908806	86.0	10.0	25.0697674419	14.9267908806	1078	3111
6.11491298676	3	23.8372093023	14.0826963469	63.0	9.0	23.8372093023	14.0826963469	1025	4136
6.76775717735	4	24.512195122	13.7842645375	87.0	11.0	24.512195122	13.7842645375	1005	5141
7.38443899155	5	28.7142857143	14.6357125427	63.0	11.0	28.7142857143	14.6357125427	1005	6146
8.08437395096	6	26.5897435897	15.7459281651	69.0	9.0	26.5897435897	15.7459281651	1037	7183
8.89772796631	7	29.6571428571	16.3950216436	100.0	12.0	29.6571428571	16.3950216436	1038	8221
9.57008314133	8	39.6538461538	23.4569037036	115.0	9.0	39.6538461538	23.4569037036	1031	9252
10.2418251038	9	38.2962962963	17.9749101163	83.0	12.0	38.2962962963	17.9749101163	1034	10286
13.0325651169	10	35.8275862069	19.2426770048	88.0	10.0	35.8275862069	19.2426770048	1039	11325
13.8292450905	11	42.7083333333	18.2516646882	77.0	18.0	42.7083333333	18.2516646882	1025	12350
14.5180499554	12	38.5384615385	24.1632759643	107.0	14.0	38.5384615385	24.1632759643	1002	13352
15.2609400749	13	44.0	19.7800404449	102.0	15.0	44.0	19.7800404449	1056	14408
15.9290921688	14	40.2307692308	21.193808407	100.0	14.0	40.2307692308	21.193808407	1046	15454
16.6042711735	15	59.4705882353	30.0570392011	132.0	13.0	59.4705882353	30.0570392011	1011	16465
17.3239569664	16	46.9565217391	28.5831787882	134.0	21.0	46.9565217391	28.5831787882	1080	17545
18.0478980541	17	45.7272727273	24.8141854924	121.0	19.0	45.7272727273	24.8141854924	1006	18551
18.7693190575	18	50.15	19.5659781253	115.0	24.0	50.15	19.5659781253	1003	19554
19.4299960136	19	48.0	18.4752086141	88.0	22.0	48.0	18.4752086141	1008	20562
23.1793940067	20	43.8695652174	18.7461401194	97.0	17.0	43.8695652174	18.7461401194	1009	21571
23.971296072	21	52.7894736842	17.255293459	88.0	15.0	52.7894736842	17.255293459	1003	22574
24.7146520615	22	50.6	19.8982411283	93.0	15.0	50.6	19.8982411283	1012	23586
25.5095660686	23	56.3333333333	26.9237606751	124.0	23.0	56.3333333333	26.9237606751	1014	24600
26.3132779598	24	65.875	27.6493105701	118.0	31.0	65.875	27.6493105701	1054	25654
27.0913910866	25	53.0526315789	17.1294565748	101.0	24.0	53.0526315789	17.1294565748	1008	26662
27.8114380836	26	53.5789473684	22.4624031837	124.0	28.0	53.5789473684	22.4624031837	1018	27680
28.5659029484	27	61.7058823529	27.5739960745	124.0	23.0	61.7058823529	27.5739960745	1049	28729
29.2778689861	28	67.8	23.8417001631	120.0	23.0	67.8	23.8417001631	1017	29746
30.0444431305	29	57.8333333333	20.1639116575	101.0	14.0	57.8333333333	20.1639116575	1041	30787
33.8382000923	30	56.9444444444	18.5696054593	91.0	20.0	56.9444444444	18.5696054593	1025	31812
