Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.10831403732	0	20.12	11.0754503294	64.0	9.0	20.12	11.0754503294	1006	1006
4.06927704811	1	20.8	12.1605920908	70.0	9.0	20.8	12.1605920908	1040	2046
4.85396003723	2	19.6538461538	10.2729754048	62.0	10.0	19.6538461538	10.2729754048	1022	3068
5.6232380867	3	18.0535714286	6.93186133233	47.0	10.0	18.0535714286	6.93186133233	1011	4079
6.42361402512	4	17.7368421053	7.71538976012	44.0	8.0	17.7368421053	7.71538976012	1011	5090
7.14197707176	5	18.5925925926	8.95982497869	63.0	9.0	18.5925925926	8.95982497869	1004	6094
7.8057808876	6	18.3636363636	8.41937945535	47.0	8.0	18.3636363636	8.41937945535	1010	7104
8.65795302391	7	18.5925925926	8.18878754314	44.0	8.0	18.5925925926	8.18878754314	1004	8108
9.49013590813	8	21.0	10.3581690789	58.0	9.0	21.0	10.3581690789	1008	9116
10.3135449886	9	22.6666666667	12.1618712011	67.0	8.0	22.6666666667	12.1618712011	1020	10136
11.8981389999	10	20.6326530612	11.2878729898	62.0	8.0	20.6326530612	11.2878729898	1011	11147
12.5676219463	11	20.5714285714	10.2519286389	49.0	9.0	20.5714285714	10.2519286389	1008	12155
13.3483901024	12	22.5111111111	11.1527220837	48.0	9.0	22.5111111111	11.1527220837	1013	13168
14.0936610699	13	25.25	14.8538715492	88.0	10.0	25.25	14.8538715492	1010	14178
14.7811970711	14	20.9583333333	12.2660750537	58.0	8.0	20.9583333333	12.2660750537	1006	15184
15.6089251041	15	25.125	11.1404387257	56.0	8.0	25.125	11.1404387257	1005	16189
16.4677898884	16	27.3513513514	13.224089845	59.0	10.0	27.3513513514	13.224089845	1012	17201
17.2153909206	17	23.1136363636	11.8268106611	56.0	8.0	23.1136363636	11.8268106611	1017	18218
17.9560439587	18	30.1176470588	14.0540233006	75.0	13.0	30.1176470588	14.0540233006	1024	19242
18.7837359905	19	28.2702702703	14.3331946019	68.0	12.0	28.2702702703	14.3331946019	1046	20288
20.642138958	20	27.1081081081	15.6995158882	83.0	10.0	27.1081081081	15.6995158882	1003	21291
21.4961590767	21	38.1851851852	26.9114281618	121.0	11.0	38.1851851852	26.9114281618	1031	22322
22.3003849983	22	36.1724137931	18.452303782	83.0	10.0	36.1724137931	18.452303782	1049	23371
23.0796329975	23	34.5862068966	13.7100950508	64.0	13.0	34.5862068966	13.7100950508	1003	24374
23.8627641201	24	40.68	16.2793611668	68.0	14.0	40.68	16.2793611668	1017	25391
24.5421860218	25	30.8181818182	16.2451942459	77.0	10.0	30.8181818182	16.2451942459	1017	26408
25.3008639812	26	38.1481481481	15.46250831	63.0	15.0	38.1481481481	15.46250831	1030	27438
26.1074709892	27	40.84	26.7860859403	145.0	11.0	40.84	26.7860859403	1021	28459
26.9033889771	28	43.9130434783	21.8928478364	114.0	13.0	43.9130434783	21.8928478364	1010	29469
27.6940960884	29	42.0	16.1992798194	78.0	17.0	42.0	16.1992798194	1008	30477
32.0787940025	30	40.6	16.5553616693	78.0	15.0	40.6	16.5553616693	1015	31492
32.7972390652	31	48.2380952381	19.544588246	85.0	15.0	48.2380952381	19.544588246	1013	32505
33.6329400539	32	48.0952380952	27.916379834	138.0	16.0	48.0952380952	27.916379834	1010	33515
34.5384309292	33	54.9473684211	25.4588908763	114.0	21.0	54.9473684211	25.4588908763	1044	34559
35.4553470612	34	46.7272727273	22.4422122921	95.0	14.0	46.7272727273	22.4422122921	1028	35587
36.1680560112	35	52.7368421053	25.132998031	105.0	13.0	52.7368421053	25.132998031	1002	36589
37.0657999516	36	55.3157894737	31.3117644472	130.0	17.0	55.3157894737	31.3117644472	1051	37640
37.7502100468	37	71.7857142857	25.06898645	134.0	38.0	71.7857142857	25.06898645	1005	38645
38.5000150204	38	65.1764705882	27.8107793197	115.0	19.0	65.1764705882	27.8107793197	1108	39753
39.2458920479	39	71.0	26.5505806591	129.0	38.0	71.0	26.5505806591	1065	40818
45.1835749149	40	75.2142857143	47.3801926237	200.0	15.0	75.2142857143	47.3801926237	1053	41871
45.9474880695	41	72.6	39.3629267205	194.0	34.0	72.6	39.3629267205	1089	42960
46.6526379585	42	68.4	16.2390475911	107.0	45.0	68.4	16.2390475911	1026	43986
47.5140280724	43	74.2857142857	26.520688882	127.0	32.0	74.2857142857	26.520688882	1040	45026
49.0629930496	44	82.3076923077	37.4851449867	165.0	26.0	82.3076923077	37.4851449867	1070	46096
49.9080619812	45	69.9333333333	32.8561849412	150.0	21.0	69.9333333333	32.8561849412	1049	47145
50.6164491177	46	103.2	39.0763355498	200.0	58.0	103.2	39.0763355498	1032	48177
51.34821105	47	105.0	31.6196141659	171.0	54.0	105.0	31.6196141659	1050	49227
52.0959041119	48	86.5	41.084263005	157.0	15.0	86.5	41.084263005	1038	50265
52.8518440723	49	135.25	46.8688329277	200.0	77.0	135.25	46.8688329277	1082	51347
59.6141340733	50	114.4	46.987657954	159.0	24.0	114.4	46.987657954	1144	52491
60.3462860584	51	136.75	56.1287582261	200.0	34.0	136.75	56.1287582261	1094	53585
61.2957730293	52	159.571428571	46.0057671629	200.0	90.0	159.571428571	46.0057671629	1117	54702
61.9424860477	53	125.875	51.9433284937	200.0	42.0	125.875	51.9433284937	1007	55709
62.6792449951	54	151.428571429	49.9023536315	200.0	60.0	151.428571429	49.9023536315	1060	56769
63.3364698887	55	176.0	31.6280466253	200.0	113.0	176.0	31.6280466253	1056	57825
64.0546889305	56	139.625	52.8699761207	200.0	31.0	139.625	52.8699761207	1117	58942
65.5077910423	57	141.25	38.4667063836	200.0	73.0	141.25	38.4667063836	1130	60072
66.285531044	58	116.333333333	65.1357556697	200.0	40.0	116.333333333	65.1357556697	1047	61119
67.2173080444	59	132.5	51.4635793547	200.0	65.0	132.5	51.4635793547	1060	62179
75.693406105	60	123.888888889	61.2471213735	200.0	14.0	123.888888889	61.2471213735	1115	63294
76.646613121	61	171.428571429	46.3029068599	200.0	81.0	171.428571429	46.3029068599	1200	64494
77.3412299156	62	173.833333333	37.3292408471	200.0	113.0	173.833333333	37.3292408471	1043	65537
78.1960110664	63	180.333333333	27.8128667267	200.0	141.0	180.333333333	27.8128667267	1082	66619
79.0974009037	64	187.333333333	25.7336787542	200.0	130.0	187.333333333	25.7336787542	1124	67743
79.8938798904	65	171.142857143	45.7053562708	200.0	94.0	171.142857143	45.7053562708	1198	68941
80.7877810001	66	179.833333333	42.4673076875	200.0	85.0	179.833333333	42.4673076875	1079	70020
81.5412690639	67	174.166666667	36.8619798106	200.0	114.0	174.166666667	36.8619798106	1045	71065
82.4045920372	68	180.833333333	20.2847780915	200.0	150.0	180.833333333	20.2847780915	1085	72150
83.3045790195	69	188.166666667	25.5761390536	200.0	131.0	188.166666667	25.5761390536	1129	73279
96.4096319675	70	190.833333333	20.4972897937	200.0	145.0	190.833333333	20.4972897937	1145	74424
97.2782189846	71	200.0	0.0	200.0	200.0	200.0	0.0	1200	75624
98.0519049168	72	188.666666667	20.813991021	200.0	143.0	188.666666667	20.813991021	1132	76756
98.7991468906	73	191.833333333	11.6392535079	200.0	173.0	191.833333333	11.6392535079	1151	77907
99.6761779785	74	199.333333333	1.490711985	200.0	196.0	199.333333333	1.490711985	1196	79103
100.525357008	75	190.0	18.6279360102	200.0	149.0	190.0	18.6279360102	1140	80243
101.399919033	76	200.0	0.0	200.0	200.0	200.0	0.0	1200	81443
102.266352892	77	200.0	0.0	200.0	200.0	200.0	0.0	1200	82643
103.119700909	78	200.0	0.0	200.0	200.0	200.0	0.0	1200	83843
104.025865078	79	200.0	0.0	200.0	200.0	200.0	0.0	1200	85043
116.042979956	80	197.0	6.7082039325	200.0	182.0	197.0	6.7082039325	1182	86225
116.981641054	81	195.833333333	9.31694990625	200.0	175.0	195.833333333	9.31694990625	1175	87400
117.89815402	82	200.0	0.0	200.0	200.0	200.0	0.0	1200	88600
118.721911907	83	200.0	0.0	200.0	200.0	200.0	0.0	1200	89800
119.622354031	84	200.0	0.0	200.0	200.0	200.0	0.0	1200	91000
120.452758074	85	200.0	0.0	200.0	200.0	200.0	0.0	1200	92200
121.508743048	86	200.0	0.0	200.0	200.0	200.0	0.0	1200	93400
122.274017096	87	186.5	30.1869176962	200.0	119.0	186.5	30.1869176962	1119	94519
123.084052086	88	200.0	0.0	200.0	200.0	200.0	0.0	1200	95719
123.940691948	89	181.833333333	40.6219015912	200.0	91.0	181.833333333	40.6219015912	1091	96810
136.313977957	90	200.0	0.0	200.0	200.0	200.0	0.0	1200	98010
137.1807549	91	200.0	0.0	200.0	200.0	200.0	0.0	1200	99210
138.085566044	92	200.0	0.0	200.0	200.0	200.0	0.0	1200	100410
139.04705596	93	171.142857143	47.6967461347	200.0	73.0	171.142857143	47.6967461347	1198	101608
139.83991909	94	190.166666667	21.9880017787	200.0	141.0	190.166666667	21.9880017787	1141	102749
140.713368893	95	198.833333333	2.60874597375	200.0	193.0	198.833333333	2.60874597375	1193	103942
141.567058086	96	176.166666667	36.5532336311	200.0	104.0	176.166666667	36.5532336311	1057	104999
