Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
4.77313399315	0	20.8958333333	8.95414146111	48.0	9.0	20.8958333333	8.95414146111	1003	1003
5.65171599388	1	22.4888888889	10.7695501241	60.0	10.0	22.4888888889	10.7695501241	1012	2015
6.4017739296	2	23.2790697674	11.2649396026	73.0	8.0	23.2790697674	11.2649396026	1001	3016
7.21549797058	3	28.8857142857	14.3741264153	76.0	9.0	28.8857142857	14.3741264153	1011	4027
7.9442050457	4	29.4411764706	19.6994941357	85.0	10.0	29.4411764706	19.6994941357	1001	5028
8.75987696648	5	28.0	15.3677150763	69.0	8.0	28.0	15.3677150763	1008	6036
9.49799489975	6	28.6	14.548834023	62.0	9.0	28.6	14.548834023	1001	7037
10.271543026	7	34.1	22.1755871775	95.0	9.0	34.1	22.1755871775	1023	8060
11.0637369156	8	32.5161290323	18.889954606	91.0	12.0	32.5161290323	18.889954606	1008	9068
11.7734949589	9	32.4193548387	22.5757137472	121.0	10.0	32.4193548387	22.5757137472	1005	10073
14.7524878979	10	40.4230769231	19.3593012368	83.0	14.0	40.4230769231	19.3593012368	1051	11124
15.5784978867	11	44.6956521739	28.1122513639	129.0	17.0	44.6956521739	28.1122513639	1028	12152
16.4258630276	12	37.6296296296	19.5337279978	97.0	9.0	37.6296296296	19.5337279978	1016	13168
17.2545149326	13	50.5454545455	33.2480037305	129.0	13.0	50.5454545455	33.2480037305	1112	14280
18.0141730309	14	67.4375	49.7254572	200.0	19.0	67.4375	49.7254572	1079	15359
18.771584034	15	54.4210526316	30.8021116663	126.0	16.0	54.4210526316	30.8021116663	1034	16393
19.6298840046	16	54.7	36.0431685622	177.0	21.0	54.7	36.0431685622	1094	17487
20.3840770721	17	59.0	31.5725122442	157.0	26.0	59.0	31.5725122442	1003	18490
21.1969928741	18	62.1176470588	26.9441303287	126.0	24.0	62.1176470588	26.9441303287	1056	19546
21.9687359333	19	72.4285714286	26.3485274344	118.0	23.0	72.4285714286	26.3485274344	1014	20560
25.1354529858	20	67.2666666667	42.5886787252	200.0	25.0	67.2666666667	42.5886787252	1009	21569
26.004338026	21	64.2352941176	40.4569915601	200.0	30.0	64.2352941176	40.4569915601	1092	22661
26.7438108921	22	62.9375	32.228614518	121.0	21.0	62.9375	32.228614518	1007	23668
27.5170738697	23	66.875	27.4906234014	140.0	23.0	66.875	27.4906234014	1070	24738
28.2602689266	24	118.888888889	50.5864374543	200.0	64.0	118.888888889	50.5864374543	1070	25808
29.0069539547	25	72.4	33.8541971795	143.0	31.0	72.4	33.8541971795	1086	26894
29.7783360481	26	76.5	40.0477393691	161.0	24.0	76.5	40.0477393691	1071	27965
30.6009290218	27	80.6153846154	34.5376905859	155.0	32.0	80.6153846154	34.5376905859	1048	29013
31.3157808781	28	69.2	38.1019684531	181.0	22.0	69.2	38.1019684531	1038	30051
32.1541039944	29	110.2	44.2849861691	200.0	59.0	110.2	44.2849861691	1102	31153
39.0626180172	30	96.0	47.0628206859	173.0	35.0	96.0	47.0628206859	1056	32209
39.9052040577	31	121.222222222	36.5962286393	200.0	56.0	121.222222222	36.5962286393	1091	33300
40.7551109791	32	105.2	36.7934776829	170.0	50.0	105.2	36.7934776829	1052	34352
41.699285984	33	122.666666667	36.1632102803	196.0	70.0	122.666666667	36.1632102803	1104	35456
42.6377899647	34	132.666666667	53.7711198817	200.0	23.0	132.666666667	53.7711198817	1194	36650
43.4537239075	35	111.555555556	55.1948288864	194.0	28.0	111.555555556	55.1948288864	1004	37654
44.251636982	36	124.555555556	59.9019775432	200.0	33.0	124.555555556	59.9019775432	1121	38775
45.0624549389	37	122.111111111	58.9301742073	200.0	32.0	122.111111111	58.9301742073	1099	39874
45.8353168964	38	168.833333333	43.9181688548	200.0	76.0	168.833333333	43.9181688548	1013	40887
46.7010159492	39	141.625	50.470133495	200.0	41.0	141.625	50.470133495	1133	42020
51.0403020382	40	127.666666667	60.3213616115	200.0	37.0	127.666666667	60.3213616115	1149	43169
51.827589035	41	128.875	57.3311379182	200.0	52.0	128.875	57.3311379182	1031	44200
52.6443359852	42	109.5	57.5625746471	200.0	36.0	109.5	57.5625746471	1095	45295
53.4683299065	43	186.666666667	29.8142397	200.0	120.0	186.666666667	29.8142397	1120	46415
54.2535128593	44	175.666666667	24.6756740311	200.0	141.0	175.666666667	24.6756740311	1054	47469
55.0340280533	45	173.5	40.0572506961	200.0	96.0	173.5	40.0572506961	1041	48510
55.8830709457	46	190.5	21.2426457862	200.0	143.0	190.5	21.2426457862	1143	49653
56.6698420048	47	176.166666667	22.7626643627	200.0	150.0	176.166666667	22.7626643627	1057	50710
57.4537489414	48	176.833333333	22.7260252183	200.0	132.0	176.833333333	22.7260252183	1061	51771
58.2656989098	49	172.833333333	32.2615181843	200.0	114.0	172.833333333	32.2615181843	1037	52808
70.2835888863	50	197.333333333	5.96284794	200.0	184.0	197.333333333	5.96284794	1184	53992
71.2518210411	51	182.166666667	18.0408487113	200.0	155.0	182.166666667	18.0408487113	1093	55085
72.0849850178	52	157.142857143	52.0890132957	200.0	46.0	157.142857143	52.0890132957	1100	56185
73.0210728645	53	155.571428571	41.7915136391	200.0	68.0	155.571428571	41.7915136391	1089	57274
73.7357008457	54	144.0	56.7702135178	200.0	41.0	144.0	56.7702135178	1008	58282
74.5026829243	55	188.0	19.60442127	200.0	147.0	188.0	19.60442127	1128	59410
75.289304018	56	182.666666667	24.6824273973	200.0	143.0	182.666666667	24.6824273973	1096	60506
76.1228339672	57	179.5	21.6236752966	200.0	141.0	179.5	21.6236752966	1077	61583
76.8746788502	58	181.833333333	25.732059554	200.0	143.0	181.833333333	25.732059554	1091	62674
77.8211359978	59	200.0	0.0	200.0	200.0	200.0	0.0	1200	63874
89.9269609451	60	184.333333333	15.7762127549	200.0	165.0	184.333333333	15.7762127549	1106	64980
90.7366719246	61	184.333333333	22.3805471088	200.0	143.0	184.333333333	22.3805471088	1106	66086
91.6083798409	62	194.833333333	7.75492674942	200.0	180.0	194.833333333	7.75492674942	1169	67255
92.5213849545	63	191.666666667	18.6338998125	200.0	150.0	191.666666667	18.6338998125	1150	68405
93.4486470222	64	200.0	0.0	200.0	200.0	200.0	0.0	1200	69605
94.2226510048	65	180.666666667	29.4599539865	200.0	123.0	180.666666667	29.4599539865	1084	70689
95.0447249413	66	200.0	0.0	200.0	200.0	200.0	0.0	1200	71889
95.8460948467	67	189.666666667	11.7992466803	200.0	168.0	189.666666667	11.7992466803	1138	73027
96.6838479042	68	182.0	27.4043792121	200.0	124.0	182.0	27.4043792121	1092	74119
97.61708498	69	196.833333333	7.08088192875	200.0	181.0	196.833333333	7.08088192875	1181	75300
109.391602993	70	194.5	12.2983738762	200.0	167.0	194.5	12.2983738762	1167	76467
110.210058928	71	186.166666667	19.5824467884	200.0	157.0	186.166666667	19.5824467884	1117	77584
111.175687075	72	199.0	2.2360679775	200.0	194.0	199.0	2.2360679775	1194	78778
112.068836927	73	193.166666667	15.2797978462	200.0	159.0	193.166666667	15.2797978462	1159	79937
113.02897191	74	200.0	0.0	200.0	200.0	200.0	0.0	1200	81137
113.956529856	75	200.0	0.0	200.0	200.0	200.0	0.0	1200	82337
114.929494858	76	189.5	18.2916192103	200.0	150.0	189.5	18.2916192103	1137	83474
115.805341959	77	187.666666667	27.5781717225	200.0	126.0	187.666666667	27.5781717225	1126	84600
116.786186934	78	200.0	0.0	200.0	200.0	200.0	0.0	1200	85800
117.808418989	79	191.333333333	19.379255805	200.0	148.0	191.333333333	19.379255805	1148	86948
129.473047972	80	191.833333333	16.5369955621	200.0	155.0	191.833333333	16.5369955621	1151	88099
130.305726051	81	192.333333333	13.8764388643	200.0	162.0	192.333333333	13.8764388643	1154	89253
131.246304035	82	200.0	0.0	200.0	200.0	200.0	0.0	1200	90453
132.189305067	83	200.0	0.0	200.0	200.0	200.0	0.0	1200	91653
132.967086077	84	189.333333333	23.85139176	200.0	136.0	189.333333333	23.85139176	1136	92789
133.925523043	85	200.0	0.0	200.0	200.0	200.0	0.0	1200	93989
134.88776803	86	200.0	0.0	200.0	200.0	200.0	0.0	1200	95189
135.842282057	87	196.666666667	7.453559925	200.0	180.0	196.666666667	7.453559925	1180	96369
136.699980974	88	200.0	0.0	200.0	200.0	200.0	0.0	1200	97569
137.487323046	89	183.333333333	32.2007591353	200.0	112.0	183.333333333	32.2007591353	1100	98669
149.277651072	90	192.333333333	17.1431878275	200.0	154.0	192.333333333	17.1431878275	1154	99823
150.265652895	91	200.0	0.0	200.0	200.0	200.0	0.0	1200	101023
151.130389929	92	200.0	0.0	200.0	200.0	200.0	0.0	1200	102223
152.101852894	93	200.0	0.0	200.0	200.0	200.0	0.0	1200	103423
153.022012949	94	195.166666667	10.8076618912	200.0	171.0	195.166666667	10.8076618912	1171	104594
153.852684021	95	200.0	0.0	200.0	200.0	200.0	0.0	1200	105794
154.917587996	96	200.0	0.0	200.0	200.0	200.0	0.0	1200	106994
155.929246902	97	198.5	3.35410196625	200.0	191.0	198.5	3.35410196625	1191	108185
156.873416901	98	200.0	0.0	200.0	200.0	200.0	0.0	1200	109385
157.728000879	99	200.0	0.0	200.0	200.0	200.0	0.0	1200	110585
