Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.01549601555	0	-134.402527176	33.6735740304	-70.4651785804	-216.297028588	151.0	0.0	5134	5134
5.41124916077	1	-130.953006263	34.7569725635	-53.10377396	-194.414936735	151.0	0.0	5134	10268
7.68743395805	2	-111.177585512	36.9159263535	-18.9303452438	-202.77538606	151.0	0.0	5134	15402
10.0441119671	3	-109.729412538	32.8969715859	-16.4015751385	-198.635261147	151.0	0.0	5134	20536
12.3743050098	4	-100.892568463	39.4950812575	-15.6015054538	-199.166737752	151.0	0.0	5134	25670
14.8685259819	5	-93.1815765732	28.3043130139	-58.721000094	-167.670987285	151.0	0.0	5134	30804
17.2334280014	6	-94.4346397298	30.8945246438	-1.16843395757	-152.394394806	151.0	0.0	5134	35938
19.5926599503	7	-100.467936033	32.1862897735	-28.7725513149	-166.826775256	151.0	0.0	5134	41072
21.9571819305	8	-105.575984393	39.6478551478	-36.8394647379	-193.079084621	151.0	0.0	5134	46206
24.3211159706	9	-91.944151099	42.7399148749	-3.02935069402	-201.34394654	151.0	0.0	5134	51340
26.6621510983	10	-85.874333466	32.6032863416	-34.9127954001	-186.983347099	151.0	0.0	5134	56474
29.0135879517	11	-79.6042447062	32.4212679358	-10.8063478868	-161.204231399	151.0	0.0	5134	61608
31.3795969486	12	-70.903379246	21.4838067487	-14.4267578224	-128.523789425	151.0	0.0	5134	66742
33.7217509747	13	-75.3195291051	23.7644944851	-36.9149135995	-158.07170049	151.0	0.0	5134	71876
36.0719840527	14	-75.8403216571	23.9353516321	-27.0434390168	-126.504598197	151.0	0.0	5134	77010
38.3961629868	15	-66.7596080979	21.6272646968	-36.3968921948	-119.237373588	151.0	0.0	5134	82144
40.7325279713	16	-67.9113320613	24.450376863	-18.4833894797	-137.928479175	151.0	0.0	5134	87278
43.0577471256	17	-68.9782404192	19.6292076591	-28.3123279251	-111.868420671	151.0	0.0	5134	92412
45.4242830276	18	-63.4015219086	23.4410998771	-12.620016506	-123.039067651	151.0	0.0	5134	97546
47.7703371048	19	-71.6852624457	22.0334224181	-24.029039727	-121.47093217	151.0	0.0	5134	102680
50.1061270237	20	-62.2776138966	23.354948975	-24.5715021176	-130.79843455	151.0	0.0	5134	107814
52.447229147	21	-78.7153105845	20.8531944541	-33.7931627269	-125.878686799	151.0	0.0	5134	112948
54.7825410366	22	-71.3612507479	26.2413000596	-13.692545996	-133.345867809	151.0	0.0	5134	118082
57.1425750256	23	-74.4442774273	26.7892293267	-17.3622875994	-134.607417114	151.0	0.0	5134	123216
59.4791691303	24	-69.93342035	24.9768551255	-32.0896032727	-139.242807293	151.0	0.0	5134	128350
61.8366000652	25	-66.0561985943	20.5139661825	-33.6690536803	-126.715478824	151.0	0.0	5134	133484
64.1987941265	26	-72.0591845007	26.2732265092	-32.297688721	-140.632525748	151.0	0.0	5134	138618
66.5462789536	27	-62.1465136397	24.8019347029	6.41836736186	-118.595442629	151.0	0.0	5134	143752
68.8947451115	28	-56.4288907818	18.9691547367	-14.8984544163	-95.2942352978	151.0	0.0	5134	148886
71.2717809677	29	-62.154483841	26.6416266513	-15.4913224176	-133.670695315	151.0	0.0	5134	154020
73.6773319244	30	-63.6481885324	32.411010781	-10.5319918652	-155.581982782	151.0	0.0	5134	159154
76.0668020248	31	-55.8732524619	23.8073994439	-5.19302393094	-107.726762536	151.0	0.0	5134	164288
78.4274680614	32	-60.2802443814	20.2690478607	-14.2741160792	-117.624829465	151.0	0.0	5134	169422
80.7789180279	33	-53.2453547585	24.0591070584	4.57792302983	-100.872961315	151.0	0.0	5134	174556
83.1368589401	34	-58.5350774501	19.2173035615	-15.1285410839	-86.9368363498	151.0	0.0	5134	179690
85.4990799427	35	-55.5798200065	17.493929721	-20.4679644026	-101.868250835	151.0	0.0	5134	184824
87.8457450867	36	-57.1051721572	20.7392446962	-18.0665355769	-106.125916723	151.0	0.0	5134	189958
90.2355940342	37	-52.8794829615	17.8231539303	-6.82823488482	-101.499727583	151.0	0.0	5134	195092
92.6100370884	38	-48.1818817023	21.0875298328	-11.2735391105	-105.380404346	151.0	0.0	5134	200226
94.944026947	39	-47.1960021504	22.8491504946	5.28733951437	-108.51962197	151.0	0.0	5134	205360
97.2912900448	40	-45.7263095939	17.594043073	-9.99095836781	-77.4513867332	151.0	0.0	5134	210494
99.6291160583	41	-50.5345469256	19.1733844725	3.80505568005	-96.1213169527	151.0	0.0	5134	215628
101.953454971	42	-48.588363063	23.9647296915	-12.8435035662	-145.735064343	151.0	0.0	5134	220762
104.34139514	43	-49.2109225628	16.4661391113	-16.403991872	-97.8385870611	151.0	0.0	5134	225896
106.687349081	44	-47.1246442821	21.9738158914	-10.841781551	-104.85353648	151.0	0.0	5134	231030
109.040127039	45	-48.1620850939	25.0722500599	-11.2170147151	-103.504016822	151.0	0.0	5134	236164
111.391004086	46	-46.1977446916	13.3810809524	-22.3629834151	-93.4970702762	151.0	0.0	5134	241298
113.760950089	47	-45.690794921	22.3425217716	3.71409579714	-91.8999880263	151.0	0.0	5134	246432
116.152040958	48	-47.3973586211	17.6144923308	-2.57242953332	-90.5915163952	151.0	0.0	5134	251566
118.524685144	49	-46.461682231	17.3901482953	-11.6119488484	-86.8234332696	151.0	0.0	5134	256700
120.906250954	50	-45.6658814152	20.1510962457	11.8238831677	-82.804376505	151.0	0.0	5134	261834
123.267311096	51	-44.619035722	17.2266030344	3.9012256706	-96.6468823304	151.0	0.0	5134	266968
125.650336981	52	-43.2797135037	18.5459989029	-9.16005485569	-82.3659156815	151.0	0.0	5134	272102
128.032981157	53	-43.5792483911	17.3608974362	-14.4211845011	-88.7972688442	151.0	0.0	5134	277236
130.374186993	54	-37.2634610252	18.5164126814	2.31629301931	-80.5515133249	151.0	0.0	5134	282370
132.74300909	55	-41.6376120176	18.6074753323	-13.6220142606	-95.1822159527	151.0	0.0	5134	287504
135.188259125	56	-31.058430989	19.8591945962	26.479383845	-73.0405667485	151.0	0.0	5134	292638
137.410069942	57	-39.8535463894	15.8697544689	-12.8864240656	-80.2106676803	151.0	0.0	5134	297772
139.678066969	58	-39.2865988352	18.5313894556	4.18645396141	-78.4438213035	151.0	0.0	5134	302906
142.014084101	59	-46.5609280584	16.0619380908	-11.8016570979	-92.2062399824	151.0	0.0	5134	308040
144.363947153	60	-36.9908513339	18.4245622467	6.95602479455	-96.6004064313	151.0	0.0	5134	313174
146.720170975	61	-36.9914916615	17.7930736856	-6.15926952047	-72.3567307715	151.0	0.0	5134	318308
149.071907997	62	-35.7614388629	16.3241367715	-4.38177106766	-76.4845733331	151.0	0.0	5134	323442
151.42531395	63	-35.1091989236	14.1126742318	10.5211845366	-61.3504019202	151.0	0.0	5134	328576
153.77177	64	-32.7006369254	19.552857077	15.9504458982	-78.0820134237	151.0	0.0	5134	333710
156.160633087	65	-38.1755245773	10.4598312446	-10.235372385	-62.4660090488	151.0	0.0	5134	338844
158.515259981	66	-35.2996210095	14.5326406086	11.5634910095	-55.5709080623	151.0	0.0	5134	343978
