Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
4.218075037	0	-170.298256164	45.9055848076	-88.2146679049	-285.86143246	151.0	0.0	5134	5134
7.9185218811	1	-103.720976134	36.9833506693	-41.5218873887	-224.171860201	151.0	0.0	5134	10268
11.486027956	2	-122.311874713	39.4504347848	-59.703525788	-196.775034492	151.0	0.0	5134	15402
15.0385780334	3	-129.748346123	37.6707559052	-41.0436735177	-201.840923608	151.0	0.0	5134	20536
18.6221950054	4	-124.203352142	38.6805278264	-38.6976341655	-196.576017966	151.0	0.0	5134	25670
22.1633388996	5	-131.601799867	46.8923162676	-57.0770630934	-230.576768333	151.0	0.0	5134	30804
25.7106108665	6	-129.633615783	28.8942059647	-79.4248128705	-186.361413497	151.0	0.0	5134	35938
29.2506599426	7	-105.18289591	32.8080963058	-59.6708604527	-181.037575576	151.0	0.0	5134	41072
32.7862799168	8	-105.822758839	42.2606991943	-20.3748028772	-174.057502208	151.0	0.0	5134	46206
36.3348889351	9	-94.3205058823	34.119380757	-49.7277013711	-198.749047596	151.0	0.0	5134	51340
39.9093489647	10	-83.3403390825	30.9854934055	-16.7251203709	-146.375468462	151.0	0.0	5134	56474
43.3903298378	11	-78.4681013431	34.3200209545	-13.634415805	-149.977275195	151.0	0.0	5134	61608
46.954654932	12	-84.1731389324	36.9464597542	-25.3393959716	-190.803496517	151.0	0.0	5134	66742
50.3695108891	13	-84.022889982	35.5381271475	0.968762875268	-177.655124943	151.0	0.0	5134	71876
53.9272339344	14	-89.2248829129	31.7191958461	-10.4356849178	-133.600486017	151.0	0.0	5134	77010
57.5329008102	15	-87.8970855763	36.2135963006	-2.14101009468	-155.848757687	151.0	0.0	5134	82144
61.1429128647	16	-78.0125149822	30.8572239849	-8.56329243514	-137.723026935	151.0	0.0	5134	87278
64.6863958836	17	-87.0258967325	29.5556451686	-33.4819540733	-151.866904641	151.0	0.0	5134	92412
68.226295948	18	-71.5030466597	21.9558239097	-30.0414315857	-117.711971212	151.0	0.0	5134	97546
71.7357838154	19	-64.2759649374	27.6171408104	1.60495559797	-134.784490066	151.0	0.0	5134	102680
75.3179218769	20	-73.7522088755	28.8864957103	-21.1999313844	-160.842401507	151.0	0.0	5134	107814
78.9226818085	21	-71.2801684854	21.1370663767	-27.3028979916	-119.645647854	151.0	0.0	5134	112948
82.476747036	22	-64.4040372933	24.7783318453	-24.4537161115	-155.923357012	151.0	0.0	5134	118082
86.0038230419	23	-68.1084171502	23.4201937229	-10.875545842	-122.97270512	151.0	0.0	5134	123216
89.5585319996	24	-67.252565657	19.8150628287	-18.4813358999	-123.124055379	151.0	0.0	5134	128350
92.9061379433	25	-72.8238597712	20.2321606532	-24.1936173964	-110.164653714	151.0	0.0	5134	133484
96.2420020103	26	-67.560123276	22.8002649915	-22.0660148698	-109.397394964	151.0	0.0	5134	138618
99.59075284	27	-63.1718502956	21.4233359312	-20.2781329985	-110.582504076	151.0	0.0	5134	143752
103.201684952	28	-57.9304084582	22.3770028203	-22.5011416055	-99.9281283716	151.0	0.0	5134	148886
106.79933095	29	-63.101629532	23.5717420175	-12.7664258537	-116.473684672	151.0	0.0	5134	154020
110.299840927	30	-62.6239946556	21.3881978535	-19.1012601241	-104.116608517	151.0	0.0	5134	159154
113.878252983	31	-52.4638069831	25.2528748277	0.939387255904	-117.080497814	151.0	0.0	5134	164288
117.46862793	32	-65.8074632245	20.8251170848	-26.5248833394	-105.039972525	151.0	0.0	5134	169422
120.951529026	33	-51.3282893418	24.6518747787	-20.6500973989	-112.145952823	151.0	0.0	5134	174556
124.417424917	34	-56.5836981627	23.8282101488	-10.0710789185	-106.712025373	151.0	0.0	5134	179690
128.058492899	35	-51.3702287041	22.7257270764	-24.2634612623	-108.396364226	151.0	0.0	5134	184824
131.604182005	36	-57.7488784129	26.3108620686	-16.9121705078	-123.01021138	151.0	0.0	5134	189958
135.035526037	37	-59.0267060585	23.9544641281	-15.3962730615	-118.30149589	151.0	0.0	5134	195092
138.519729853	38	-49.9801228619	24.6790704892	24.9975127239	-124.314583	151.0	0.0	5134	200226
141.958684921	39	-48.0728763303	22.3617317287	-7.45701492514	-97.299826165	151.0	0.0	5134	205360
145.476567984	40	-51.1912796402	23.3069119478	-14.4971183444	-104.534766783	151.0	0.0	5134	210494
149.053556919	41	-47.0406223316	20.718507055	-13.2133490588	-97.5389468563	151.0	0.0	5134	215628
152.635146856	42	-55.0808959317	19.3455452539	-14.3519418527	-99.0498126282	151.0	0.0	5134	220762
156.245620966	43	-44.3293640866	18.1677783156	-17.7812207466	-91.6670611485	151.0	0.0	5134	225896
159.656419992	44	-50.6087000756	20.9981634271	-7.06484491236	-86.1910480837	151.0	0.0	5134	231030
163.268517017	45	-50.8020970786	15.7981218916	-12.7947698088	-80.0862606564	151.0	0.0	5134	236164
166.821030855	46	-48.0483044449	26.5669861527	2.52032612152	-108.59114323	151.0	0.0	5134	241298
170.401331902	47	-42.6087912757	20.5322391362	16.0660055325	-80.5302001069	151.0	0.0	5134	246432
174.022958994	48	-41.5398067698	21.4533269785	3.66944205229	-87.5510184017	151.0	0.0	5134	251566
177.629566908	49	-45.7333325989	22.9541328291	-6.92598669663	-97.9835674944	151.0	0.0	5134	256700
181.01728487	50	-42.9222938354	18.2522649621	-5.61509922368	-92.5405006306	151.0	0.0	5134	261834
184.510074854	51	-39.2452871916	16.3360484761	-2.99262704127	-77.3952966459	151.0	0.0	5134	266968
188.067106009	52	-43.9132577969	20.6833321019	-13.5493333325	-97.1798485249	151.0	0.0	5134	272102
191.606873989	53	-38.617907666	17.2614098664	-5.93168049295	-80.8176287027	151.0	0.0	5134	277236
195.210927963	54	-39.8505098012	15.1409964027	-11.7415895103	-77.9392112629	151.0	0.0	5134	282370
198.720839977	55	-38.3787927349	18.5247615251	-2.56047431043	-71.4955086856	151.0	0.0	5134	287504
202.312667847	56	-39.9601536357	16.8564828873	-13.7789390158	-78.4786713429	151.0	0.0	5134	292638
205.844871998	57	-43.6363211783	19.639601278	-9.70015372317	-82.4750457793	151.0	0.0	5134	297772
209.371428013	58	-34.3935606129	13.7675341025	-2.12512377253	-55.7745999383	151.0	0.0	5134	302906
212.986397028	59	-37.2314711901	18.4600301679	5.00732533936	-89.1101194909	151.0	0.0	5134	308040
216.631840944	60	-40.723789266	21.2315140684	5.93112292833	-104.929803269	151.0	0.0	5134	313174
220.254477978	61	-40.6569420901	17.0466642788	-7.91124109587	-85.8294729339	151.0	0.0	5134	318308
223.645125866	62	-43.1245435039	17.530653261	-9.44014241415	-103.815580882	151.0	0.0	5134	323442
227.022682905	63	-37.9190115772	17.2061584983	-0.261669363641	-71.92749901	151.0	0.0	5134	328576
230.505923033	64	-40.6963168199	20.7301973619	-0.753006206565	-85.8012891337	151.0	0.0	5134	333710
234.12350297	65	-39.0368940651	15.8669354208	-11.3730914413	-73.9229945939	151.0	0.0	5134	338844
237.65622592	66	-30.3719976424	18.9873859588	4.94576186025	-69.483435401	151.0	0.0	5134	343978
240.98840189	67	-37.382763902	16.0616095679	-10.0412580636	-88.790250089	151.0	0.0	5134	349112
244.574761868	68	-34.7607461037	16.4715160131	-9.12689646598	-80.9418889822	151.0	0.0	5134	354246
248.090495825	69	-27.8806763737	10.5569116856	-4.38092855188	-45.5567516511	151.0	0.0	5134	359380
251.667672873	70	-31.0280892314	14.5580550116	4.41301531876	-64.5484516741	151.0	0.0	5134	364514
255.34314394	71	-30.3479474715	16.5685505882	16.9839429218	-76.164164589	151.0	0.0	5134	369648
258.97321701	72	-36.9974626637	20.7445889607	-5.22863342125	-80.6663885614	151.0	0.0	5134	374782
262.521808863	73	-30.9148738588	16.8248359038	14.3727383686	-61.8507407455	151.0	0.0	5134	379916
266.111999035	74	-28.2159455244	13.8829566424	0.849639931044	-51.7342450129	151.0	0.0	5134	385050
269.740933895	75	-39.0073168227	13.7266374497	-15.9274552808	-81.5909960271	151.0	0.0	5134	390184
273.325150013	76	-38.9834324738	16.8822321856	-8.68995831584	-98.5028595341	151.0	0.0	5134	395318
276.907500982	77	-35.2450067216	18.208605915	-1.83756996173	-91.1361811445	151.0	0.0	5134	400452
280.513968945	78	-37.3861530929	17.147510842	-2.08873270832	-72.1742643086	151.0	0.0	5134	405586
284.096519947	79	-32.6510006608	13.7530196125	-11.2532767033	-73.2872999025	151.0	0.0	5134	410720
287.652689934	80	-32.3947312331	16.7023283557	11.7498067119	-71.3159134269	151.0	0.0	5134	415854
291.287616014	81	-32.2677796794	18.5767895584	5.39474147036	-79.8412212156	151.0	0.0	5134	420988
294.671084881	82	-27.2884400641	15.9603658994	9.49477666989	-60.0423122097	151.0	0.0	5134	426122
298.252741814	83	-31.2850680673	13.7240013346	-5.37982121675	-77.7780965671	151.0	0.0	5134	431256
301.844422817	84	-28.985760339	16.3090163118	13.57901338	-61.6962842343	151.0	0.0	5134	436390
305.444917917	85	-27.5424775179	14.788591545	-5.84952617504	-69.0408103444	151.0	0.0	5134	441524
308.832908869	86	-30.7200006617	15.2789353828	4.53928778853	-63.6048831848	151.0	0.0	5134	446658
312.43382287	87	-32.6549721477	13.2608309443	13.0164289514	-55.7712372848	151.0	0.0	5134	451792
315.985277891	88	-34.830523865	12.6999009269	-7.24450696569	-64.2551165299	151.0	0.0	5134	456926
319.583858967	89	-32.4466159159	10.7189654804	-13.306921497	-59.4020271052	151.0	0.0	5134	462060
323.241906881	90	-29.7921557375	15.8757903038	6.57967904344	-72.6276936506	151.0	0.0	5134	467194
326.797621965	91	-31.0082902581	13.6080848871	-4.19651723215	-77.1957324878	151.0	0.0	5134	472328
330.159528017	92	-27.8230059871	14.1957561725	3.66023451249	-54.0945101827	151.0	0.0	5134	477462
333.775202036	93	-31.1898737458	14.2069213455	5.35537174466	-58.4033015998	151.0	0.0	5134	482596
337.407575846	94	-29.2355857384	14.8573938638	2.6300595276	-62.1566498619	151.0	0.0	5134	487730
341.097445011	95	-30.708768483	13.2489245986	-0.236457425159	-61.2304635886	151.0	0.0	5134	492864
344.698370934	96	-30.8043812757	11.9771816741	-14.5216753617	-69.9651294701	151.0	0.0	5134	497998
348.306459904	97	-31.0575256658	9.51396383415	-11.2674525864	-56.318863188	151.0	0.0	5134	503132
351.901327848	98	-26.233581712	17.1208808418	6.35606893146	-66.9838699996	151.0	0.0	5134	508266
355.488786936	99	-27.5921157933	11.2345841128	-11.5659260429	-58.9480904639	151.0	0.0	5134	513400
