Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.07998609543	0	-132.155110059	44.7026717082	-40.8825342259	-232.223694753	151.0	0.0	5134	5134
5.87723708153	1	-749.937291064	57.894767774	-622.911746981	-874.392661881	151.0	0.0	5134	10268
8.32416391373	2	-806.443035165	69.1899630031	-672.112558105	-969.872026608	151.0	0.0	5134	15402
10.6928520203	3	-694.25136657	85.0683144788	-560.515374728	-946.003398011	151.0	0.0	5134	20536
13.1136291027	4	-544.294483578	53.6339434678	-442.07495127	-697.401365847	151.0	0.0	5134	25670
15.5402050018	5	-330.067504449	48.4385224612	-240.111205741	-487.10152797	151.0	0.0	5134	30804
17.9872450829	6	-281.495537254	51.0942328492	-203.872723217	-404.846527878	151.0	0.0	5134	35938
20.4121069908	7	-230.132465839	36.5697774135	-128.335755577	-286.210650619	151.0	0.0	5134	41072
22.8518359661	8	-233.288157731	46.2395281157	-142.148412429	-320.947357784	151.0	0.0	5134	46206
25.2739839554	9	-173.062113888	44.6888406636	-80.2644434361	-317.694793014	151.0	0.0	5134	51340
27.6366090775	10	-201.810780806	44.36712252	-132.258082132	-301.380501959	151.0	0.0	5134	56474
30.0319919586	11	-219.749706229	48.6245621784	-125.050501229	-320.876056068	151.0	0.0	5134	61608
32.295953989	12	-222.062059394	50.6621510729	-119.3735217	-342.862226823	151.0	0.0	5134	66742
34.559910059	13	-212.606243005	50.5294181379	-144.530234839	-361.105121334	151.0	0.0	5134	71876
36.9576020241	14	-163.686557008	36.1466605129	-78.6843217977	-235.386175953	151.0	0.0	5134	77010
39.5925290585	15	-152.80597755	40.9751519416	-61.1985743847	-262.587065781	151.0	0.0	5134	82144
42.0815861225	16	-139.192135678	41.9098962611	-54.9927464184	-294.475869199	151.0	0.0	5134	87278
44.4653959274	17	-134.669280522	44.0601635817	-50.4112350574	-242.050175902	151.0	0.0	5134	92412
46.8188409805	18	-121.081662532	40.5858068324	-30.4786184701	-185.922779282	151.0	0.0	5134	97546
49.2072100639	19	-131.264379987	41.1344015406	-51.0788729088	-230.059846895	151.0	0.0	5134	102680
51.5953240395	20	-111.108943591	41.1431901298	-45.0799616737	-226.324491336	151.0	0.0	5134	107814
54.0400819778	21	-130.621090157	42.6305760593	-28.2745001041	-233.501426465	151.0	0.0	5134	112948
56.5353291035	22	-110.495074066	38.4131791398	-44.2640460872	-222.97767664	151.0	0.0	5134	118082
58.9517719746	23	-128.223261089	31.7804867532	-69.6049189163	-203.722169104	151.0	0.0	5134	123216
61.3595490456	24	-127.715886347	47.3505528014	-49.2781545022	-241.185115787	151.0	0.0	5134	128350
63.7644639015	25	-103.88602535	44.0672387018	-26.3564050719	-218.350342947	151.0	0.0	5134	133484
66.1626911163	26	-92.9738134248	32.735809219	-31.3227092708	-168.007104038	151.0	0.0	5134	138618
68.5631849766	27	-90.0037484453	33.5184584422	-33.4410674863	-185.932747088	151.0	0.0	5134	143752
71.4017469883	28	-105.78217672	36.0732890474	-27.3539182205	-199.848028395	151.0	0.0	5134	148886
74.4129080772	29	-104.807143238	39.8400685133	4.28916022752	-219.854613258	151.0	0.0	5134	154020
76.9216310978	30	-108.149557193	37.2103049699	-18.5564445813	-195.312744917	151.0	0.0	5134	159154
79.7183959484	31	-96.9162480062	43.247754318	-17.8977624953	-182.813162595	151.0	0.0	5134	164288
82.2260329723	32	-106.261793519	37.6874765503	-26.1257301321	-167.202581791	151.0	0.0	5134	169422
84.8661251068	33	-108.881378206	33.0997095345	-12.9480534763	-177.460779683	151.0	0.0	5134	174556
87.5989990234	34	-87.718471414	26.3946674637	-40.7527488721	-141.27598041	151.0	0.0	5134	179690
90.0097830296	35	-97.2017935643	31.137759846	-11.8070108007	-183.890425886	151.0	0.0	5134	184824
92.4822010994	36	-94.3652530079	33.9656153434	-46.0412435766	-189.100410443	151.0	0.0	5134	189958
94.9909009933	37	-92.2579291872	42.9907035933	-5.44973601958	-199.781527107	151.0	0.0	5134	195092
97.3731479645	38	-94.3883953048	39.4950998163	41.1094654607	-175.441432856	151.0	0.0	5134	200226
99.7654061317	39	-86.8668338358	33.0343423313	-27.3044879641	-195.420198869	151.0	0.0	5134	205360
102.155709982	40	-72.2402877223	28.1850400118	-5.8361503912	-129.466427058	151.0	0.0	5134	210494
104.49770999	41	-67.328493428	29.3319069685	-16.7870542229	-134.303307466	151.0	0.0	5134	215628
106.751513004	42	-82.3737969365	20.8621539919	-36.2596404497	-130.898958539	151.0	0.0	5134	220762
109.003674984	43	-97.8652065559	30.5388132462	-49.2392694671	-166.247544392	151.0	0.0	5134	225896
111.262866974	44	-94.0978061311	31.1083505167	-34.5868627374	-151.7811404	151.0	0.0	5134	231030
113.616972923	45	-86.5177529368	29.5035488284	-26.3584921794	-146.68062816	151.0	0.0	5134	236164
116.057265997	46	-74.4023504364	24.2314711506	-32.0593943204	-160.392389892	151.0	0.0	5134	241298
118.474805117	47	-66.8205580986	26.9758948188	-11.8796740044	-126.188478558	151.0	0.0	5134	246432
120.897974968	48	-74.9228589587	35.9195833028	-9.43127959184	-187.662643057	151.0	0.0	5134	251566
123.292109013	49	-77.4171690651	39.0044054333	16.6417249139	-172.64061607	151.0	0.0	5134	256700
125.692737103	50	-68.4993894904	28.8286915517	-20.5627663332	-116.971234251	151.0	0.0	5134	261834
128.095318079	51	-86.7930900528	40.8390743169	-22.6242797338	-216.500177949	151.0	0.0	5134	266968
130.525561094	52	-81.6350725102	37.7727105999	-0.413483582411	-184.410862772	151.0	0.0	5134	272102
132.997079134	53	-74.8413633695	33.3912105983	-19.9095967422	-165.062325139	151.0	0.0	5134	277236
135.714407921	54	-61.6164867647	34.2051457592	25.9718245903	-121.876097052	151.0	0.0	5134	282370
138.261080027	55	-60.5454957418	33.3021377907	-13.3178444711	-165.628801377	151.0	0.0	5134	287504
140.649796963	56	-58.0341599743	31.6883087542	-10.3365461013	-154.785366735	151.0	0.0	5134	292638
143.028208017	57	-62.6251725156	28.2209519764	-17.9084207113	-170.1200849	151.0	0.0	5134	297772
145.470443964	58	-84.5385251066	40.9847592747	1.79830511076	-177.430699017	151.0	0.0	5134	302906
147.914366007	59	-79.5971435146	30.318914471	-17.2666854517	-157.15454126	151.0	0.0	5134	308040
150.731347084	60	-73.6436236719	34.0673408701	-20.5016376773	-143.312395341	151.0	0.0	5134	313174
153.281057119	61	-65.1923048107	41.3079076012	16.1629321492	-156.015435897	151.0	0.0	5134	318308
155.680531025	62	-66.196728785	32.6885614404	-7.22660427717	-150.050044415	151.0	0.0	5134	323442
158.094106913	63	-65.3678524566	24.5369714543	-17.3743993935	-122.199338659	151.0	0.0	5134	328576
160.489299059	64	-78.7727506234	34.1221018996	-25.1194120062	-198.481951693	151.0	0.0	5134	333710
162.901354074	65	-82.268869486	22.4970533247	-40.6331936385	-128.207512572	151.0	0.0	5134	338844
165.334793091	66	-77.9637576225	34.5911826657	3.89501700761	-199.495449393	151.0	0.0	5134	343978
167.724182129	67	-74.3808193278	30.1745095877	-22.1634959601	-146.441204586	151.0	0.0	5134	349112
170.131874084	68	-69.2573459606	28.5476884627	-29.5341290163	-172.090191515	151.0	0.0	5134	354246
172.617044926	69	-71.4646952787	30.7173653282	-26.8942218822	-160.787145187	151.0	0.0	5134	359380
174.998174906	70	-89.3125151944	29.4708684461	-47.2555669003	-195.013066789	151.0	0.0	5134	364514
177.45582509	71	-88.4477340941	36.4516310414	-37.1653395039	-207.113078825	151.0	0.0	5134	369648
179.854986906	72	-94.8574439847	27.0509041232	-50.7210695247	-165.957664052	151.0	0.0	5134	374782
182.258877039	73	-79.8959841966	32.9132044636	-11.63542575	-155.397934093	151.0	0.0	5134	379916
184.681404114	74	-42.5867253403	28.6191963736	19.522874947	-101.12460572	151.0	0.0	5134	385050
187.085186958	75	-33.8147441404	35.3158648991	60.6929671418	-114.697404659	151.0	0.0	5134	390184
189.507410049	76	-39.1326297272	31.3466993976	12.2352451334	-98.9423798849	151.0	0.0	5134	395318
191.94937396	77	-52.7204127913	28.812212651	13.4722953956	-128.295625391	151.0	0.0	5134	400452
194.40040803	78	-53.7432567746	26.238969571	-10.9026177739	-137.094300222	151.0	0.0	5134	405586
196.863182068	79	-53.2282149287	37.3865982116	3.47825944309	-161.202548309	151.0	0.0	5134	410720
199.317604065	80	-41.7535981467	25.3817636594	0.489634909553	-98.8969601035	151.0	0.0	5134	415854
201.780431032	81	-52.1599377007	29.4521256549	3.81549018162	-146.620597376	151.0	0.0	5134	420988
204.324256897	82	-45.8430483958	30.641019657	15.4870537418	-105.689187391	151.0	0.0	5134	426122
206.764997005	83	-37.7940535904	25.0108210363	23.4001171175	-74.2789643723	151.0	0.0	5134	431256
209.251143932	84	-50.1653156152	25.5339412147	-12.3022404564	-123.172535608	151.0	0.0	5134	436390
211.782371998	85	-48.4151164118	29.0810033028	27.3026513252	-103.330488965	151.0	0.0	5134	441524
214.228831053	86	-45.1349778861	32.9725599829	18.8411900811	-137.885526442	151.0	0.0	5134	446658
216.704652071	87	-49.7128656501	23.9051257874	-3.17748554888	-103.01085365	151.0	0.0	5134	451792
219.298681974	88	-42.4888495182	19.8563421188	-13.0272928538	-98.1571131055	151.0	0.0	5134	456926
221.870363951	89	-41.5348048922	32.1360103579	42.7453472628	-115.064347865	151.0	0.0	5134	462060
224.497728109	90	-41.1295748975	33.2658631881	18.5289083666	-118.175909801	151.0	0.0	5134	467194
226.954150915	91	-66.7821836529	28.3296604174	-24.4198176813	-134.667093335	151.0	0.0	5134	472328
229.461761951	92	-62.6862198644	37.8931113075	28.7991709881	-156.355901382	151.0	0.0	5134	477462
231.988202095	93	-53.140207116	26.6685389378	9.8651100696	-107.352759648	151.0	0.0	5134	482596
234.48892498	94	-42.934353041	21.2184115663	-9.07245743411	-97.9916426015	151.0	0.0	5134	487730
237.03976512	95	-68.6139471281	31.998151739	-21.5280791577	-149.491341778	151.0	0.0	5134	492864
239.530160904	96	-71.8270757677	27.2444914711	-0.65670414658	-129.561402621	151.0	0.0	5134	497998
241.957818031	97	-85.6050246996	33.3831268681	-18.8739487944	-225.81762027	151.0	0.0	5134	503132
244.414484024	98	-80.6094015059	24.3279541099	-40.3498245766	-144.521993788	151.0	0.0	5134	508266
246.866976976	99	-81.5643073868	47.7158801875	3.95617917076	-190.740709009	151.0	0.0	5134	513400
