Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.27834391594	0	-142.365211227	35.5274060564	-90.5257394047	-208.680614314	151.0	0.0	1057	1057
3.99985194206	1	-780.3577167	52.8137105048	-721.408219988	-856.926438983	151.0	0.0	1057	2114
4.61754202843	2	-840.096437022	94.9454392493	-721.553577271	-985.630452126	151.0	0.0	1057	3171
5.23667693138	3	-850.311237562	69.7238966171	-773.271572945	-1000.64168881	151.0	0.0	1057	4228
5.88308405876	4	-1179.40122258	52.0468481644	-1103.82595309	-1257.50602849	151.0	0.0	1057	5285
6.48981690407	5	-1011.82303184	95.6946253083	-827.221369223	-1159.54712744	151.0	0.0	1057	6342
7.13571596146	6	-813.141932752	76.306833996	-703.051783331	-901.805204452	151.0	0.0	1057	7399
7.81340789795	7	-823.652356668	76.7992138503	-679.112348713	-926.359208404	151.0	0.0	1057	8456
8.42712306976	8	-773.752287436	73.2139740576	-672.78096816	-920.169801244	151.0	0.0	1057	9513
9.1289870739	9	-657.635867308	77.3102340212	-547.705463662	-759.848541954	151.0	0.0	1057	10570
9.73685908318	10	-456.053121471	51.6562099376	-353.39872735	-512.127124634	151.0	0.0	1057	11627
10.3529729843	11	-383.811564641	59.9811272516	-330.299990099	-503.724133778	151.0	0.0	1057	12684
10.9638531208	12	-309.727194661	47.4823861506	-239.178630887	-360.934845883	151.0	0.0	1057	13741
11.5856280327	13	-257.818644564	45.1264532195	-198.409661483	-348.995502088	151.0	0.0	1057	14798
12.1973381042	14	-254.589568065	43.2710628494	-219.931114423	-350.478392869	151.0	0.0	1057	15855
12.9598760605	15	-291.663753145	37.7642051942	-240.124196025	-352.569933843	151.0	0.0	1057	16912
13.5806889534	16	-207.203717896	38.5355513813	-162.233486807	-283.115537098	151.0	0.0	1057	17969
14.2588319778	17	-205.163231442	55.2918126606	-100.42955078	-271.50730199	151.0	0.0	1057	19026
14.8544781208	18	-195.420321507	34.2208579497	-148.144673312	-261.833080193	151.0	0.0	1057	20083
15.4600589275	19	-243.443036164	31.931763621	-188.006321229	-284.069219945	151.0	0.0	1057	21140
16.0673270226	20	-209.825407568	63.7428183402	-94.9717646905	-272.722997074	151.0	0.0	1057	22197
