Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.28054308891	0	-596.154615905	22.249541131	-559.54040394	-622.689809824	151.0	0.0	1057	1057
2.00320100784	1	-524.465287545	32.5023362886	-474.903830265	-577.619784608	151.0	0.0	1057	2114
2.62242889404	2	-525.261669059	72.8636626283	-426.183983374	-644.907450917	151.0	0.0	1057	3171
3.25029110909	3	-514.207650603	63.1591435552	-431.485688836	-640.650586512	151.0	0.0	1057	4228
3.86136698723	4	-571.111710318	44.4474724904	-489.307534994	-631.537290713	151.0	0.0	1057	5285
4.47092199326	5	-597.253876992	47.386947401	-539.098157745	-664.249328319	151.0	0.0	1057	6342
5.07659196854	6	-582.124615138	32.6663167265	-532.522878714	-620.425702525	151.0	0.0	1057	7399
5.68723511696	7	-612.360621698	44.1151855487	-540.578897454	-672.161054761	151.0	0.0	1057	8456
6.28830695152	8	-601.466307057	42.2833536903	-521.886421147	-646.474103997	151.0	0.0	1057	9513
6.88558292389	9	-646.647406119	45.4832913721	-566.143620316	-724.168975243	151.0	0.0	1057	10570
7.48138594627	10	-650.838261106	59.9412092774	-517.083206738	-706.32050323	151.0	0.0	1057	11627
8.10050296783	11	-674.76413481	40.707811417	-592.283817687	-713.986986654	151.0	0.0	1057	12684
8.71481204033	12	-629.551895686	50.3252380981	-534.673567105	-701.733115163	151.0	0.0	1057	13741
9.32656598091	13	-616.925699739	54.3009231159	-545.490309951	-692.870913553	151.0	0.0	1057	14798
9.95281195641	14	-588.973764223	33.1186720172	-527.059979856	-630.05553091	151.0	0.0	1057	15855
10.5685520172	15	-612.521195857	43.0911352555	-540.10856989	-663.81067719	151.0	0.0	1057	16912
11.2004289627	16	-575.263249701	38.1978230652	-520.642028947	-636.329752484	151.0	0.0	1057	17969
11.8330841064	17	-592.751261534	24.9057266811	-540.636671663	-619.552633055	151.0	0.0	1057	19026
12.4605269432	18	-572.961041118	19.9754574813	-551.428900507	-614.746432784	151.0	0.0	1057	20083
13.0934789181	19	-613.604953782	45.8924060644	-563.497597108	-689.325455828	151.0	0.0	1057	21140
13.7278060913	20	-599.011073355	60.1244067746	-483.222599202	-679.143132979	151.0	0.0	1057	22197
14.3677270412	21	-600.108337491	25.2963544891	-555.677138696	-639.867596619	151.0	0.0	1057	23254
14.9753611088	22	-630.050329973	54.8719818924	-528.417160571	-687.122433325	151.0	0.0	1057	24311
15.6015329361	23	-576.268171227	51.0273513544	-516.90328325	-675.297238249	151.0	0.0	1057	25368
16.2365019321	24	-537.880121547	47.8573259076	-479.685020553	-636.503605879	151.0	0.0	1057	26425
16.8923749924	25	-541.94527347	15.1249516046	-521.324052347	-560.765149197	151.0	0.0	1057	27482
17.5194890499	26	-517.286567046	30.7674426303	-473.554462764	-563.741740053	151.0	0.0	1057	28539
18.1754570007	27	-498.484179219	19.9038016719	-478.476925537	-538.793116615	151.0	0.0	1057	29596
18.7841620445	28	-471.861854009	46.3972415544	-416.460645013	-542.490676474	151.0	0.0	1057	30653
19.412856102	29	-492.380285161	48.8781297711	-408.771674254	-561.898198545	151.0	0.0	1057	31710
20.0414590836	30	-473.534766318	13.9718477792	-449.989654556	-491.33824426	151.0	0.0	1057	32767
20.655700922	31	-486.380081121	19.6807816803	-452.442657777	-510.675675053	151.0	0.0	1057	33824
21.2651751041	32	-483.776189201	42.8166871417	-411.27775417	-522.718853169	151.0	0.0	1057	34881
21.8849000931	33	-481.545452309	26.7148853057	-435.103399661	-514.166280429	151.0	0.0	1057	35938
22.5087709427	34	-484.539682381	24.8796249953	-445.256932704	-528.969310317	151.0	0.0	1057	36995
23.1431610584	35	-475.043420112	10.3618005774	-460.111451496	-494.569047622	151.0	0.0	1057	38052
23.7754459381	36	-504.26579857	46.2823211219	-451.571013437	-582.662339112	151.0	0.0	1057	39109
24.4009981155	37	-480.655954545	45.8817179456	-394.312561206	-549.720525849	151.0	0.0	1057	40166
25.0293591022	38	-499.125402007	28.8327778763	-446.604394766	-528.198337443	151.0	0.0	1057	41223
25.6673340797	39	-516.519958456	30.2886261149	-458.617727444	-555.722329614	151.0	0.0	1057	42280
26.3046660423	40	-488.681635889	16.8455207878	-461.890263474	-513.612490865	151.0	0.0	1057	43337
26.9374001026	41	-496.213716282	33.5467871028	-448.33502902	-550.441898409	151.0	0.0	1057	44394
27.5931990147	42	-466.466523296	31.2027614531	-407.41346466	-504.406132066	151.0	0.0	1057	45451
28.2282121181	43	-492.238835541	29.8027157091	-442.551981795	-532.049353166	151.0	0.0	1057	46508
28.8494551182	44	-473.503227512	29.9309538678	-418.80738584	-513.641098473	151.0	0.0	1057	47565
29.4701309204	45	-478.219296367	40.0303902433	-419.877562375	-549.662097657	151.0	0.0	1057	48622
30.0851609707	46	-476.509195559	58.6653787193	-391.839282346	-557.828568289	151.0	0.0	1057	49679
30.7760031223	47	-477.594279174	25.6890616719	-434.747062926	-512.354533047	151.0	0.0	1057	50736
31.4016721249	48	-503.167576895	26.5416828165	-455.274270836	-552.936338647	151.0	0.0	1057	51793
32.0553939342	49	-459.065043272	16.2010109589	-439.102671256	-487.325826068	151.0	0.0	1057	52850
32.6848700047	50	-449.040287985	20.5621932197	-421.089855817	-481.042788135	151.0	0.0	1057	53907
33.3166389465	51	-474.741014747	28.0959543315	-438.993368379	-521.826116087	151.0	0.0	1057	54964
33.9469740391	52	-459.776233112	40.7928213833	-386.230252772	-507.889471076	151.0	0.0	1057	56021
34.5866429806	53	-466.16256398	24.0854027302	-424.811367525	-499.266442983	151.0	0.0	1057	57078
35.2132620811	54	-460.033138239	24.4841779035	-430.308259648	-502.13121674	151.0	0.0	1057	58135
35.8382949829	55	-457.394682804	21.599152541	-427.098626752	-492.00106517	151.0	0.0	1057	59192
36.4333970547	56	-441.726292858	27.5213900997	-406.909032949	-493.899969288	151.0	0.0	1057	60249
37.0537350178	57	-481.611809671	27.3755047504	-442.886553591	-523.442544427	151.0	0.0	1057	61306
37.6788630486	58	-475.361391077	31.1569257894	-438.892197736	-529.075603435	151.0	0.0	1057	62363
38.319423914	59	-459.235249964	25.4336770594	-415.744141969	-490.326077809	151.0	0.0	1057	63420
38.9553010464	60	-464.767691239	44.0878075068	-406.812736152	-530.611044148	151.0	0.0	1057	64477
39.5753359795	61	-445.496953759	42.8097868623	-381.509706782	-516.309826759	151.0	0.0	1057	65534
40.2073009014	62	-445.759764728	26.3443830995	-416.023764069	-482.297409977	151.0	0.0	1057	66591
40.8373930454	63	-424.283003508	20.3766662524	-381.227230183	-442.030095022	151.0	0.0	1057	67648
41.4730119705	64	-426.860516748	22.993119645	-383.110975188	-460.737439822	151.0	0.0	1057	68705
42.1237409115	65	-391.288967563	24.4226703108	-350.865818558	-435.810543491	151.0	0.0	1057	69762
42.7471609116	66	-401.159676862	27.7663078947	-350.869129176	-448.873878	151.0	0.0	1057	70819
43.3816940784	67	-402.086444828	35.886784079	-347.773400759	-467.390877128	151.0	0.0	1057	71876
44.0346488953	68	-347.387004352	21.5193963292	-317.419842692	-384.451257044	151.0	0.0	1057	72933
44.6866719723	69	-367.142507795	18.0054085868	-338.598292635	-386.102481654	151.0	0.0	1057	73990
45.3093829155	70	-336.794550767	28.1102472504	-315.240288764	-401.287492278	151.0	0.0	1057	75047
45.9518899918	71	-347.027903743	30.0113302133	-312.399533508	-399.44444451	151.0	0.0	1057	76104
46.586368084	72	-342.125553194	21.9634097018	-308.08344038	-372.831254929	151.0	0.0	1057	77161
47.2087368965	73	-358.78738662	41.1412050541	-301.47737004	-431.073712598	151.0	0.0	1057	78218
47.8402941227	74	-333.028548343	28.545892675	-276.135674156	-369.682942782	151.0	0.0	1057	79275
48.4637649059	75	-306.135695159	48.6224864539	-246.106737173	-403.116421535	151.0	0.0	1057	80332
49.0923290253	76	-304.372377127	32.9099288422	-240.092671406	-346.657213235	151.0	0.0	1057	81389
49.7192959785	77	-317.881300491	49.2811795987	-273.240546295	-431.563358105	151.0	0.0	1057	82446
50.3399009705	78	-292.461299273	23.3172035396	-262.27144573	-320.29225499	151.0	0.0	1057	83503
50.9651799202	79	-306.478293125	31.4805826174	-270.227918915	-371.593172947	151.0	0.0	1057	84560
51.6014719009	80	-300.347692529	32.6260909124	-261.674699308	-354.367215863	151.0	0.0	1057	85617
52.2242491245	81	-326.241557124	34.5116916462	-292.517370281	-403.302724403	151.0	0.0	1057	86674
52.8362998962	82	-307.501611292	25.508019838	-277.027475059	-357.209246895	151.0	0.0	1057	87731
53.4368989468	83	-296.303633434	37.5702262011	-258.118769124	-361.276072108	151.0	0.0	1057	88788
54.0250480175	84	-262.783386439	28.5846066008	-222.898252402	-304.48113375	151.0	0.0	1057	89845
54.6121239662	85	-294.781600956	22.2913281732	-247.390823584	-324.249462888	151.0	0.0	1057	90902
55.2069580555	86	-268.509789295	33.754993374	-224.341370515	-315.382756838	151.0	0.0	1057	91959
55.7959289551	87	-313.382866216	19.6154209125	-283.40228628	-347.183578878	151.0	0.0	1057	93016
56.3925480843	88	-288.41775154	33.1243441564	-240.21954911	-342.419474007	151.0	0.0	1057	94073
56.98832798	89	-275.209936274	32.7330785929	-230.334828556	-331.161193602	151.0	0.0	1057	95130
