Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
5.34839296341	0	23.6745283019	13.7837993593	90.0	9.0	23.6745283019	13.7837993593	5019	5019
7.32704901695	1	22.4241071429	11.6075540793	88.0	9.0	22.4241071429	11.6075540793	5023	10042
9.6341779232	2	23.5990566038	12.9270302977	100.0	10.0	23.5990566038	12.9270302977	5003	15045
11.6742398739	3	22.1674008811	11.3850583678	75.0	9.0	22.1674008811	11.3850583678	5032	20077
13.8758618832	4	19.7944664032	9.02243848728	66.0	9.0	19.7944664032	9.02243848728	5008	25085
16.100744009	5	20.5183673469	11.0322657297	109.0	8.0	20.5183673469	11.0322657297	5027	30112
18.2580599785	6	20.8875	11.1706390633	95.0	9.0	20.8875	11.1706390633	5013	35125
20.4207699299	7	21.5689655172	11.0984808979	81.0	9.0	21.5689655172	11.0984808979	5004	40129
22.6553380489	8	22.1101321586	12.4593164717	75.0	9.0	22.1101321586	12.4593164717	5019	45148
24.8129999638	9	22.0219298246	10.8492239093	68.0	9.0	22.0219298246	10.8492239093	5021	50169
27.8049149513	10	24.4292682927	14.3153038338	84.0	8.0	24.4292682927	14.3153038338	5008	55177
29.6889209747	11	25.9637305699	17.3737855823	136.0	9.0	25.9637305699	17.3737855823	5011	60188
31.8263249397	12	27.8388888889	15.3590957087	89.0	9.0	27.8388888889	15.3590957087	5011	65199
